APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,member_id,provider,code,subtype
219031,International:UK Television,Lotame,,,,422,,5801,International
219032,International:Germany All Users,Lotame,,,,422,,6436,International
219033,International:Germany Art,Lotame,,,,422,,6429,International
219034,International:Germany Business,Lotame,,,,422,,6430,International
219035,International:Germany Computers & Technology,Lotame,,,,422,,6431,International
219036,International:Germany Games & Toys,Lotame,,,,422,,6432,International
219037,International:Germany Movies,Lotame,,,,422,,6433,International
219038,International:Germany News,Lotame,,,,422,,6434,International
219039,International:Germany Sports,Lotame,,,,422,,6435,International
219040,International:France All Users,Lotame,,,,422,,6437,International
219041,International:France Art,Lotame,,,,422,,6438,International
219042,International:France Business,Lotame,,,,422,,6439,International
219043,International:France Computers & Technology,Lotame,,,,422,,6440,International
219044,International:France Games & Toys,Lotame,,,,422,,6441,International
219045,International:France Sports,Lotame,,,,422,,6442,International
223408,Holidays & Special Events:Valentines Day,Lotame,,,,422,,7459,Holidays & Special Events
223409,Holidays & Special Events:St. Patricks Day,Lotame,,,,422,,7460,Holidays & Special Events
223410,Holidays & Special Events:Mothers Day,Lotame,,,,422,,7461,Holidays & Special Events
223411,Holidays & Special Events:Fathers Day,Lotame,,,,422,,7462,Holidays & Special Events
223412,Holidays & Special Events:4th of July,Lotame,,,,422,,7463,Holidays & Special Events
223413,Holidays & Special Events:Super Bowl,Lotame,,,,422,,7501,Holidays & Special Events
223414,Holidays & Special Events:Spring Break,Lotame,,,,422,,7502,Holidays & Special Events
223415,Holidays & Special Events:March Madness,Lotame,,,,422,,7506,Holidays & Special Events
223416,Holidays & Special Events:NFL Draft,Lotame,,,,422,,7507,Holidays & Special Events
223417,Holidays & Special Events:Back to School,Lotame,,,,422,,7504,Holidays & Special Events
235477,KO Test,Lotame,,,,422,,,
235918,Test MH,Lotame,,,,422,,,
236189,Test,Lotame,,,,422,,,
239775,In-Market:Retail:Business & Office:Office Furniture & Supplies:Storage & Desk Organizers:Desktop Organizers. Holders & Accessories:Pen. Pencil & Paper Clip Organizers:Mesh Pencil Cup Holder,BlueKai,0.77,,,1262,,bk_11414,BlueKai
239781,In-Market:Autos,BlueKai,1.71,,,1262,,bk_17,BlueKai
239782,In-Market:Autos:Makes & Models,BlueKai,1.71,,,1262,,bk_134,BlueKai
239783,In-Market:Autos:Makes & Models:Acura,BlueKai,1.71,,,1262,,bk_205,BlueKai
239784,In-Market:Autos:Makes & Models:Acura:CL,BlueKai,1.71,,,1262,,bk_2298,BlueKai
239785,In-Market:Autos:Makes & Models:Acura:EL,BlueKai,1.71,,,1262,,bk_2605,BlueKai
239786,In-Market:Autos:Makes & Models:Acura:Integra,BlueKai,1.71,,,1262,,bk_2163,BlueKai
239787,In-Market:Autos:Makes & Models:Acura:Legend,BlueKai,1.71,,,1262,,bk_2300,BlueKai
239788,In-Market:Autos:Makes & Models:Acura:MDX,BlueKai,1.71,,,1262,,bk_349,BlueKai
239789,In-Market:Autos:Makes & Models:Acura:NSX,BlueKai,1.71,,,1262,,bk_2303,BlueKai
239790,In-Market:Autos:Makes & Models:Acura:RDX,BlueKai,1.71,,,1262,,bk_348,BlueKai
239791,In-Market:Autos:Makes & Models:Acura:RL,BlueKai,1.71,,,1262,,bk_347,BlueKai
239792,In-Market:Autos:Makes & Models:Acura:RSX,BlueKai,1.71,,,1262,,bk_2305,BlueKai
239793,In-Market:Autos:Makes & Models:Acura:SLX,BlueKai,1.71,,,1262,,bk_126852,BlueKai
239794,In-Market:Autos:Makes & Models:Acura:TL,BlueKai,1.71,,,1262,,bk_346,BlueKai
239795,In-Market:Autos:Makes & Models:Acura:TSX,BlueKai,1.71,,,1262,,bk_345,BlueKai
239796,In-Market:Autos:Makes & Models:Acura:Vigor,BlueKai,1.71,,,1262,,bk_2606,BlueKai
239797,In-Market:Autos:Makes & Models:Acura:ZDX,BlueKai,1.71,,,1262,,bk_103549,BlueKai
239798,In-Market:Autos:Makes & Models:Aixam,BlueKai,1.71,,,1262,,bk_123873,BlueKai
239799,In-Market:Autos:Makes & Models:Alfa Romeo,BlueKai,1.71,,,1262,,bk_2284,BlueKai
239800,In-Market:Autos:Makes & Models:Alfa Romeo:145,BlueKai,1.71,,,1262,,bk_2614,BlueKai
239801,In-Market:Autos:Makes & Models:Alfa Romeo:146,BlueKai,1.71,,,1262,,bk_133553,BlueKai
239802,In-Market:Autos:Makes & Models:Alfa Romeo:147,BlueKai,1.71,,,1262,,bk_2607,BlueKai
239803,In-Market:Autos:Makes & Models:Alfa Romeo:149,BlueKai,1.71,,,1262,,bk_133554,BlueKai
239804,In-Market:Autos:Makes & Models:Alfa Romeo:155,BlueKai,1.71,,,1262,,bk_2616,BlueKai
239805,In-Market:Autos:Makes & Models:Alfa Romeo:156,BlueKai,1.71,,,1262,,bk_2615,BlueKai
239806,In-Market:Autos:Makes & Models:Alfa Romeo:159,BlueKai,1.71,,,1262,,bk_2609,BlueKai
239807,In-Market:Autos:Makes & Models:Alfa Romeo:164,BlueKai,1.71,,,1262,,bk_2311,BlueKai
239808,In-Market:Autos:Makes & Models:Alfa Romeo:166,BlueKai,1.71,,,1262,,bk_2617,BlueKai
239809,In-Market:Autos:Makes & Models:Alfa Romeo:75,BlueKai,1.71,,,1262,,bk_123825,BlueKai
239810,In-Market:Autos:Makes & Models:Alfa Romeo:Brera,BlueKai,1.71,,,1262,,bk_134621,BlueKai
239811,In-Market:Autos:Makes & Models:Alfa Romeo:Giulietta,BlueKai,1.71,,,1262,,bk_2608,BlueKai
239812,In-Market:Autos:Makes & Models:Alfa Romeo:GT,BlueKai,1.71,,,1262,,bk_2612,BlueKai
239813,In-Market:Autos:Makes & Models:Alfa Romeo:GTV,BlueKai,1.71,,,1262,,bk_2618,BlueKai
239814,In-Market:Autos:Makes & Models:Alfa Romeo:MiTo,BlueKai,1.71,,,1262,,bk_2613,BlueKai
239815,In-Market:Autos:Makes & Models:Alfa Romeo:Spider,BlueKai,1.71,,,1262,,bk_2315,BlueKai
239816,In-Market:Autos:Makes & Models:Aston Martin,BlueKai,1.71,,,1262,,bk_9288,BlueKai
239817,In-Market:Autos:Makes & Models:Aston Martin:Cygnet,BlueKai,1.71,,,1262,,bk_135363,BlueKai
239818,In-Market:Autos:Makes & Models:Aston Martin:DB7,BlueKai,1.71,,,1262,,bk_2340,BlueKai
239819,In-Market:Autos:Makes & Models:Aston Martin:DB9,BlueKai,1.71,,,1262,,bk_11520,BlueKai
239820,In-Market:Autos:Makes & Models:Aston Martin:DBS,BlueKai,1.71,,,1262,,bk_11522,BlueKai
239821,In-Market:Autos:Makes & Models:Aston Martin:Rapide,BlueKai,1.71,,,1262,,bk_11521,BlueKai
239822,In-Market:Autos:Makes & Models:Aston Martin:Vanquish,BlueKai,1.71,,,1262,,bk_2335,BlueKai
239823,In-Market:Autos:Makes & Models:Aston Martin:Vantage,BlueKai,1.71,,,1262,,bk_11519,BlueKai
239824,In-Market:Autos:Makes & Models:Audi,BlueKai,1.71,,,1262,,bk_208,BlueKai
239825,In-Market:Autos:Makes & Models:Audi:100,BlueKai,1.71,,,1262,,bk_2345,BlueKai
239826,In-Market:Autos:Makes & Models:Audi:200,BlueKai,1.71,,,1262,,bk_2346,BlueKai
239827,In-Market:Autos:Makes & Models:Audi:80,BlueKai,1.71,,,1262,,bk_2343,BlueKai
239828,In-Market:Autos:Makes & Models:Audi:90,BlueKai,1.71,,,1262,,bk_2344,BlueKai
239829,In-Market:Autos:Makes & Models:Audi:A1,BlueKai,1.71,,,1262,,bk_123826,BlueKai
239830,In-Market:Autos:Makes & Models:Audi:A2,BlueKai,1.71,,,1262,,bk_124067,BlueKai
239831,In-Market:Autos:Makes & Models:Audi:A3,BlueKai,1.71,,,1262,,bk_359,BlueKai
239832,In-Market:Autos:Makes & Models:Audi:A4,BlueKai,1.71,,,1262,,bk_355,BlueKai
239833,In-Market:Autos:Makes & Models:Audi:A5,BlueKai,1.71,,,1262,,bk_360,BlueKai
239834,In-Market:Autos:Makes & Models:Audi:A6,BlueKai,1.71,,,1262,,bk_365,BlueKai
239835,In-Market:Autos:Makes & Models:Audi:A7,BlueKai,1.71,,,1262,,bk_103557,BlueKai
239836,In-Market:Autos:Makes & Models:Audi:A8,BlueKai,1.71,,,1262,,bk_366,BlueKai
239837,In-Market:Autos:Makes & Models:Audi:Allroad Quattro,BlueKai,1.71,,,1262,,bk_3172,BlueKai
239838,In-Market:Autos:Makes & Models:Audi:Cabriolet,BlueKai,1.71,,,1262,,bk_134622,BlueKai
239839,In-Market:Autos:Makes & Models:Audi:Q3,BlueKai,1.71,,,1262,,bk_135364,BlueKai
239840,In-Market:Autos:Makes & Models:Audi:Q5,BlueKai,1.71,,,1262,,bk_7454,BlueKai
239841,In-Market:Autos:Makes & Models:Audi:Q7,BlueKai,1.71,,,1262,,bk_371,BlueKai
239842,In-Market:Autos:Makes & Models:Audi:R8,BlueKai,1.71,,,1262,,bk_361,BlueKai
239843,In-Market:Autos:Makes & Models:Audi:RS4,BlueKai,1.71,,,1262,,bk_6959,BlueKai
239844,In-Market:Autos:Makes & Models:Audi:RS5,BlueKai,1.71,,,1262,,bk_103559,BlueKai
239845,In-Market:Autos:Makes & Models:Audi:RS6,BlueKai,1.71,,,1262,,bk_73460,BlueKai
